drink	image	Tequila	Vodka	Whiskey	Gin	Rum	Mocktail	Light	Regular	Strong
Pineapple Sage Vodka Still	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.00	1.40	2.00	3.40
Pomegranate Margarita	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.00	1.00	1.50	2.50
Raspberry Ginger Gimlet	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.00	1.00	1.50	2.50
Rum Breeze	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.00	1.00	1.50	2.50
Rum Runner	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	0.00	2.00	3.00	5.10
Rum Swizzle	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.00	1.40	2.00	3.40
Southside	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.00	1.40	2.00	3.40
Spicy Margarita	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.00	1.40	2.00	3.40
Strawberry Guava Margarita	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.00	1.00	1.50	2.50
Tequila Sunrise	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.00	1.00	1.50	2.50
Westside	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.00	1.40	2.00	3.40
Whiskey Smash	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.00	1.00	1.50	2.50
White Sangria	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.00	1.00	1.50	2.50
Witch's Heart	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.00	1.40	2.00	2.50
Watermelon Margarita	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.00	1.00	1.50	2.50
Uptown Rocks	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.00	1.00	1.50	2.50
